one two
5.58817e+69 3.04749e+69
2.82784e+69 1.33128e+69
5.62181e+69 2.07851e+69
9.1132e+14 1.29638e+15
4.02212e+15 4.62333e+15
7.20511e+15 5.73929e+15
7.20511e+15 5.73929e+15
3.19282e+15 1.51408e+15
3.19282e+15 1.51408e+15
3.19282e+15 1.51408e+15
7.00019e+52 9.89242e+52
4.25398e+53 5.17836e+53
7.7398e+53 6.71779e+53
7.7398e+53 6.71779e+53
6.43174e+52 3.54628e+52
6.40417e+52 3.15569e+52
6.4041e+52 2.59877e+52
2.00511e+56 2.28631e+56
6.48709e+55 5.85955e+55
6.47498e+55 5.43064e+55
1.98032e+56 1.27761e+56
5.33668e+56 2.78829e+56
4.36923e+68 8.26445e+68
5.79932e+66 4.49024e+66
5.32876e+66 3.66711e+66
4.16455e+47 5.84038e+47
6.36324e+47 8.52816e+47
6.00197e+06 5.23454e+06
6.00197e+06 5.23454e+06
6.00197e+06 5.23454e+06
2.28374e+54 3.42548e+54
2.38223e+54 3.42149e+54
2.28801e+54 3.146e+54
4.85074e+54 6.10331e+54
4.58478e+54 4.85731e+54
4.88028e+55 4.23514e+55
2.1292e+55 9.64644e+54
2.1292e+55 9.64644e+54
1.33346e+37 2.4939e+37
9.03272e+36 1.39491e+37
8.82012e+36 1.1843e+37
9.49921e+35 1.027e+36
2.85215e+36 2.80341e+36
4.13403e+36 3.079e+36
3.24248e+37 1.6396e+37
3.24248e+37 1.6396e+37
3.24248e+37 1.6396e+37
6.81955e+49 8.14614e+49
1.47241e+49 1.26531e+49
3.43044e+86 5.3355e+86
3.47829e+87 5.69081e+87
3.29317e+86 3.98844e+86
8.4574e+85 8.72097e+85
1.24354e+86 9.6778e+85
9.57416e+21 1.56585e+22
8.89935e+20 1.26441e+21
9.31366e+20 9.32324e+20
4.95254e+20 4.34335e+20
5.01115e+20 4.1571e+20
4.63054e+20 2.19576e+20
1.92556e+39 3.25394e+39
1.85285e+39 2.86525e+39
2.10978e+39 3.0525e+39
5.60484e+40 6.27396e+40
5.60484e+40 6.27396e+40
5.60484e+40 6.27396e+40
5.60484e+40 6.27396e+40
6.3334e+40 2.18251e+40
6.3334e+40 2.18251e+40
6.3334e+40 2.18251e+40
6.3334e+40 2.18251e+40
7.39096e+56 1.37548e+57
7.39096e+56 1.37548e+57
7.39096e+56 1.37548e+57
7.39096e+56 1.37548e+57
7.39096e+56 1.37548e+57
7.39096e+56 1.37548e+57
4.25787e+55 6.60652e+55
8.92972e+54 6.24106e+54
1.22367e+55 7.4513e+54
4.68777e+36 8.10343e+36
2.34607e+36 3.75108e+36
1.60166e+37 2.28644e+37
4.74513e+37 4.19215e+37
4.74513e+37 4.19215e+37
4.74513e+37 4.19215e+37
9.16824e+36 4.87013e+36
2.86929e+36 9.79163e+35
3.92763e+30 5.16793e+30
3.83347e+28 2.67274e+28
3.84509e+26 5.3436e+26
1.74379e+42 2.72957e+42
5.41877e+41 6.80267e+41
1.40169e+41 1.58337e+41
1.39181e+41 1.51634e+41
1.33426e+41 1.35861e+41
5.44193e+41 4.4524e+41
5.44193e+41 4.4524e+41
1.50471e+41 7.0721e+40
2.35216e+78 3.82046e+78
1.28458e+77 2.03721e+77
1.28458e+77 2.03721e+77
3.64463e+79 4.83384e+79
2.95284e+80 3.74989e+80
1.01015e+77 1.16157e+77
8.52137e+69 8.26963e+69
1.55352e+71 1.49365e+71
4.60703e+69 3.25523e+69
9.08597e+70 6.26962e+70
5.75572e+43 8.25839e+43
5.89482e+43 6.95738e+43
2.06702e+43 1.63981e+43
1.03637e+43 7.42564e+42
9.50525e+42 5.47298e+42
1.09229e+60 1.54012e+60
1.09229e+60 1.54012e+60
1.09229e+60 1.54012e+60
1.09229e+60 1.54012e+60
5.93816e+58 2.69084e+58
2.69316e+58 5.58834e+57
6.66649e+54 1.08383e+55
1.66578e+55 2.05692e+55
3.38698e+54 3.41951e+54
9.37753e+54 7.34108e+54
4.58851e+54 2.29836e+54
4.58851e+54 2.29836e+54
1.51249e+54 5.783e+53
2.98616e+64 4.62498e+64
5.07292e+63 6.90687e+63
5.05339e+63 6.74377e+63
4.84402e+63 6.31856e+63
5.06552e+63 6.01154e+63
5.5531e+63 6.40579e+63
4.83503e+63 2.52262e+63
5.26305e+63 2.57417e+63
6.15185e+63 2.44263e+63
4.76742e+96 7.62241e+96
2.38893e+96 3.32416e+96
291.345 403.354
4950.92 5927.04
7520.54 10158.3
7520.54 10158.3
117650 176043
117650 176043
117650 176043
117650 176043
4298.38 2057.82
4298.38 2057.82
4298.38 2057.82
