one two
2.58129e+19 1.00536e+19
86282.8 97322.7
2.06023e+08 2.24261e+08
4.33271e+52 3.93564e+52
2.40057e+48 3.6354e+48
3.09261e+50 4.9212e+50
1.18598e+50 1.78063e+50
9.34725e+50 1.1879e+51
9.34725e+50 1.1879e+51
9.34725e+50 1.1879e+51
9.49943e+50 7.71031e+50
1.17656e+50 4.9968e+49
4.09697e+69 7.49377e+69
3.37549e+10 6.18348e+10
3.3832e+10 5.16722e+10
1.75516e+41 2.90101e+41
2.5513e+40 3.95587e+40
9.96464e+38 1.25046e+39
2.49105e+38 2.80792e+38
2.49105e+38 2.80792e+38
1.03794e+39 8.5242e+38
4.9008e+79 7.08448e+79
3.17859e+08 4.79505e+08
1.33426e+26 1.48265e+26
8.26572e+97 1.07093e+98
2.65471e+97 3.06257e+97
2.18496e+98 2.21259e+98
1.42242e+97 7.77602e+96
1.83569e+68 2.35133e+68
1.35723e+72 1.73107e+72
1.35723e+72 1.73107e+72
6.14186e+71 6.98794e+71
1.69399e+71 9.26059e+70
